Car Name,Brand,Country of Origin,Body Style,Segment,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25
Santro,Hyundai,South Korea,Hatchback,B1,4648,8070,8026,8133,6675,7114,5409,6955,6396,3141,5122,4915,4826,5924,5359,4309,4192,3691,3059,3101,3412,3826,3913,3377,3048,3821,4080,4264,4274,4721,2961,2417,2353,3022,3842,3617,3385,4002,3855,2624,2619,2333,2035,2724,2260,3348,796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8535,9009,7197,8000,6875,8280,6906,4902,4141,5309,3288,3502,5855,3851,3820,3671,4200,2169,0,157,1513,1351,2395,3034,3463,2822,1960,2211,2128,2165,2683,1122,2039,1949,1731,1798,2877,2141,1298,1252,2393,2494,1793,2608,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i10,Hyundai,South Korea,Hatchback,B2,16694,15105,14215,12415,11538,10969,8828,9185,9784,11557,10174,8006,10744,10324,10157,7872,6959,6177,6113,6300,8099,8988,9782,7187,8552,8182,8686,8194,8469,8174,6735,6017,3260,3575,4094,3975,4116,4041,3000,2591,3070,2586,2611,2278,2763,3152,3378,3621,3584,4082,3629,3219,3183,2567,2204,2535,1925,1656,2470,2186,1455,2128,1980,1700,1854,1100,1335,1234,1389,2450,2471,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i20,Hyundai,South Korea,Hatchback,B2,5773,6834,7655,8068,7370,7152,5627,5374,7019,6834,7148,5717,6068,4844,6235,7562,7675,7676,7775,7712,7814,9058,7761,5119,8655,7605,6988,6230,5701,5628,5366,5695,5741,6045,4643,3491,4640,4292,4406,3459,3191,3212,1593,6627,8903,8896,10552,9345,9541,10264,12812,12425,10334,10841,10031,10662,11702,11019,10074,10379,9604,10202,10647,11147,10472,8990,9910,11011,10254,11532,8917,9803,11460,10414,12394,12668,10667,10609,11390,11832,11574,11012,10236,9847,9650,13378,13319,12369,10664,11262,10822,11475,12380,13290,10555,11940,11749,11547,12172,10411,8958,9271,9012,7071,10141,14683,10446,7740,8137,8766,3455,0,878,2718,6344,7765,9852,8399,9096,8004,10865,10270,11020,11540,3804,8787,6518,7340,5153,4414,4391,3150,6505,5830,4693,4707,4463,7921,6873,7558,7275,7814,7236,4697,8185,9287,6596,6472,6094,6162,5001,4896,6481,7212,5727,4574,7083,5131,5155,5199,5169,5315,4937,4913,4428,5354,3925,3453,4741,3627,4452,3525,4090,3785,3396,3634,3884,4023,3777,3339
Accent,Hyundai,South Korea,Sedan,C1,1317,1224,1293,1114,1047,941,900,714,553,745,682,575,463,580,525,399,321,301,182,154,131,240,234,267,157,250,295,87,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verna,Hyundai,South Korea,Sedan,C2,1858,1241,489,1854,4357,4102,4724,4211,4810,4217,4331,4002,4311,4506,4132,6251,5403,5929,5300,4880,4294,5050,4026,2404,5066,4871,4589,4809,4710,3879,3479,3882,4159,4549,3219,2503,3803,3342,3400,3340,3334,3222,2853,2713,2395,2248,1588,1903,1620,2703,3400,2802,2127,1620,1328,1643,1341,1256,1047,616,1224,1368,1520,2050,1502,1800,1614,948,1185,1455,931,864,897,808,870,682,563,326,520,4779,6054,4701,3751,1953,4601,4001,4151,4077,3801,3901,3351,3361,3501,3301,2558,2001,3216,3299,3201,2932,2567,2271,1890,1597,1738,2174,2010,1295,957,570,893,0,317,1083,1906,2015,2228,2166,1487,1036,2000,2047,2778,2552,1181,2181,1827,2098,879,2438,1648,982,1622,1058,1586,781,1488,1703,1870,1734,1654,2179,2025,1538,995,47,3755,4001,3687,4001,2858,2576,2610,2313,1701,712,2172,1680,1716,1571,1381,1424,1420,1194,1198,1272,1213,872,1477,1207,1364,1005,930,813,826,771,725,824,709,406
Sonata,Hyundai,South Korea,Sedan,D2,11,29,23,20,14,24,13,12,7,2,3,11,0,0,92,66,43,39,32,19,20,20,20,20,3048,3821,4080,4264,4274,4721,13,14,13,7,13,11,9,10,10,11,12,13,10,8,5,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eon,Hyundai,South Korea,Hatchback,A,0,0,0,0,0,0,0,0,7188,6315,7418,6223,7344,10480,12500,8541,7346,6550,4985,5418,6244,7872,8449,7849,8261,8717,8604,8350,8406,7770,6946,7991,6284,6867,6340,5428,7307,7312,7473,6500,6300,6579,6020,6757,6489,6986,6626,5997,6820,7200,6045,6343,6449,5313,4407,4540,4607,6479,7154,6563,5431,5539,5460,5417,3634,3600,3792,3990,4504,5810,5658,6790,5047,5500,5747,5379,5330,4231,4032,4058,5144,6350,5137,5672,6111,4551,4500,4663,4609,4270,3746,3916,5309,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elentra,Hyundai,South Korea,Sedan,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,154,131,240,234,267,488,470,564,410,462,391,437,418,358,389,269,218,353,300,342,310,320,343,255,300,325,232,207,139,244,180,83,327,252,232,166,148,85,119,70,79,42,114,74,71,44,112,0,272,302,334,264,212,184,217,247,227,189,159,158,251,170,184,144,114,175,151,151,150,149,137,100,68,91,115,78,50,68,82,86,85,105,60,54,41,94,59,34,23,63,46,28,0,6,15,20,26,24,46,38,15,32,40,53,53,9,29,15,20,41,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xcent + Aura,Hyundai,South Korea,Sedan,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,6663,7792,7069,6652,5509,4481,4629,3899,3204,4110,4047,4500,4666,4871,4999,2772,3202,4228,5101,4057,4529,3708,4193,3761,4200,4701,3800,4585,4316,3896,5015,3623,3993,3851,3348,2786,4446,3804,3425,4219,3467,3609,3491,2841,2706,3363,2768,3200,3712,3673,4199,4114,4981,4105,3143,2495,1723,2121,1924,1792,1463,1694,2172,1430,1316,1164,1388,1612,1139,6691,4968,2615,0,349,1016,1839,3228,3882,5577,3063,3113,4183,4300,4023,3347,1637,3126,4034,3094,2862,2701,2562,1715,3333,3668,3775,4035,3311,4102,4018,4378,4239,4248,3813,4156,4634,5524,3774,5085,4707,4907,4514,4892,3900,4096,3850,3812,5516,5053,4883,4526,4433,4299,4757,4304,4462,4805,4248,3852,5388,4797,5074,4224,5225,5413,4636,5336,5387,5815,5731,4925
Creta,Hyundai,South Korea,SUV,C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1641,6783,7437,7320,7225,5837,4709,6589,8196,8163,7900,7057,7700,7981,8450,8835,8670,6822,6563,7918,9002,10001,9213,8377,6436,10556,10158,9292,9248,8528,6755,9284,9278,10011,9390,11004,11111,10423,10394,11000,11702,9677,7631,10314,10206,11448,10487,9054,8334,6585,6001,6641,7269,6684,6713,6900,700,6706,0,3212,7207,11549,11758,12325,14023,12017,10592,12284,12428,12640,12463,7527,9941,13000,12597,8193,6455,10300,7609,9869,9606,10532,12651,10973,13790,12625,12577,12866,11880,13321,10205,15037,10421,14026,14186,14449,14447,14062,13832,12717,13077,11814,9243,13212,15276,16458,15447,14662,16293,17730,16762,15902,17497,15452,12608,18522,16317,18059,17016,14860,15786,16898,15924,18861,18381,17344,13154
