Brand,Model,Sales_2025
Renault,Triber,22788
Renault,Kiger,9512
Renault,Kwid,5765
Tata,Nexon,200561
Tata,Punch,173502
Tata,Tiago,82234
Tata,Altroz,35906
Tata,Curvv,27531
Tata,Harrier,27410
Tata,Safari (old & new),18478
Tata,Tigor,12859
Tata,Sierra,291
Toyota,Innova (Crysta + Hycross),111959
Toyota,Hyryder,85710
Toyota,Glanza,54440
Toyota,Taisor,36268
Toyota,Fortuner,34716
Toyota,Rumion,20723
Toyota,Hilux,3820
Toyota,Camry,2349
Toyota,Vallfire,1359
Hyundai,Creta,201122
Hyundai,Venue,115355
Hyundai,Exter,67908
Hyundai,Xcent + Aura,61951
Hyundai,Grand i10,53660
Hyundai,i20,46273
Hyundai,Alcazar,13636
Hyundai,Verna,11057
Hyundai,Tucson,682
Hyundai,Ioniq 5,234
