Month,Industry_Total
2011-01-01,225680
2011-02-01,228002
2011-03-01,235759
2011-04-01,199497
2011-05-01,198780
2011-06-01,205677
2011-07-01,172869
2011-08-01,179862
2011-09-01,206564
2011-10-01,174846
2011-11-01,208517
2011-12-01,198174
2012-01-01,240475
2012-02-01,257679
2012-03-01,277705
2012-04-01,216656
2012-05-01,210580
2012-06-01,195002
2012-07-01,192480
2012-08-01,171040
2012-09-01,213950
2012-10-01,230830
2012-11-01,212343
2012-12-01,191394
2013-01-01,255931
2013-02-01,217373
2013-03-01,247451
2013-04-01,203941
2013-05-01,197605
2013-06-01,192235
2013-07-01,176164
2013-08-01,181413
2013-09-01,207171
2013-10-01,228535
2013-11-01,194651
2013-12-01,180515
2014-01-01,213104
2014-02-01,213659
2014-03-01,232324
2014-04-01,183288
2014-05-01,203463
2014-06-01,212904
2014-07-01,193919
2014-08-01,208956
2014-09-01,219504
2014-10-01,216808
2014-11-01,208926
2014-12-01,206081
2015-01-01,229297
2015-02-01,229352
2015-03-01,241582
2015-04-01,216366
2015-05-01,215261
2015-06-01,215207
2015-07-01,218924
2015-08-01,218794
2015-09-01,228715
2015-10-01,264712
2015-11-01,233544
2015-12-01,227929
2016-01-01,227954
2016-02-01,230159
2016-03-01,248144
2016-04-01,238590
2016-05-01,229367
2016-06-01,219272
2016-07-01,255769
2016-08-01,255606
2016-09-01,274797
2016-10-01,277188
2016-11-01,239099
2016-12-01,225185
2017-01-01,262738
2017-02-01,251912
2017-03-01,278128
2017-04-01,274564
2017-05-01,248154
2017-06-01,195031
2017-07-01,294499
2017-08-01,305595
2017-09-01,306352
2017-10-01,277116
2017-11-01,271579
2017-12-01,236026
2018-01-01,280701
2018-02-01,270412
2018-03-01,294465
2018-04-01,294483
2018-05-01,297257
2018-06-01,268735
2018-07-01,284635
2018-08-01,282809
2018-09-01,288805
2018-10-01,281366
2018-11-01,263555
2018-12-01,235981
2019-01-01,276983
2019-02-01,268843
2019-03-01,287166
2019-04-01,245547
2019-05-01,236533
2019-06-01,221610
2019-07-01,199533
2019-08-01,195800
2019-09-01,222809
2019-10-01,284048
2019-11-01,262958
2019-12-01,234805
2020-01-01,261768
2020-02-01,250222
2020-03-01,140143
2020-04-01,0
2020-05-01,36576
2020-06-01,116928
2020-07-01,197600
2020-08-01,235152
2020-09-01,292883
2020-10-01,333660
2020-11-01,286235
2020-12-01,279039
2021-01-01,305747
2021-02-01,309870
2021-03-01,322461
2021-04-01,293160
2021-05-01,104706
2021-06-01,257851
2021-07-01,294330
2021-08-01,259555
2021-09-01,185638
2021-10-01,259867
2021-11-01,245214
2021-12-01,254270
2022-01-01,294494
2022-02-01,302426
2022-03-01,321373
2022-04-01,293081
2022-05-01,294087
2022-06-01,320555
2022-07-01,347885
2022-08-01,334095
2022-09-01,362025
2022-10-01,339893
2022-11-01,324056
2022-12-01,275160
2023-01-01,381805
2023-02-01,340450
2023-03-01,341752
2023-04-01,338930
2023-05-01,340920
2023-06-01,327544
2023-07-01,351908
2023-08-01,360230
2023-09-01,362863
2023-10-01,390853
2023-11-01,334868
2023-12-01,287204
2024-01-01,393471
2024-02-01,375178
2024-03-01,369381
2024-04-01,337070
2024-05-01,359057
2024-06-01,339418
2024-07-01,342813
2024-08-01,357879
2024-09-01,354977
2024-10-01,394075
2024-11-01,350596
2024-12-01,323242
2025-01-01,401538
2025-02-01,380690
2025-03-01,385860
2025-04-01,353449
2025-05-01,349711
2025-06-01,317757
2025-07-01,346669
2025-08-01,327504
2025-09-01,378430
2025-10-01,466738
2025-11-01,417440
2025-12-01,437229
