,Fluence,Koleos,Pulse,Duster,Scala,Lodgy,Kwid,Triber,Kiger,Captur
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07-01,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-01,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09-01,100.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10-01,119.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11-01,101.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12-01,149.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,102.0,37.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-02-01,138.0,34.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-03-01,227.0,32.0,746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-01,177.0,26.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,156.0,17.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,208.0,43.0,536.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,102.0,43.0,437.0,1194.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-08-01,131.0,29.0,572.0,3184.0,120.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,128.0,26.0,524.0,4211.0,688.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,107.0,57.0,483.0,5406.0,737.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,82.0,31.0,436.0,5251.0,807.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,68.0,36.0,515.0,4485.0,820.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,108.0,37.0,403.0,3554.0,812.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,65.0,28.0,420.0,5590.0,620.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,337.0,15.0,541.0,6313.0,1026.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,39.0,10.0,358.0,5362.0,545.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,71.0,3.0,410.0,5146.0,670.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,215.0,0.0,497.0,4523.0,772.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,10.0,1.0,292.0,3089.0,371.0,0.0,0.0,0.0,0.0,0.0
2013-08-01,11.0,10.0,405.0,3967.0,340.0,0.0,0.0,0.0,0.0,0.0
2013-09-01,68.0,32.0,344.0,3973.0,405.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,12.0,13.0,311.0,4657.0,410.0,0.0,0.0,0.0,0.0,0.0
2013-11-01,15.0,7.0,166.0,3624.0,232.0,0.0,0.0,0.0,0.0,0.0
2013-12-01,86.0,62.0,644.0,2613.0,708.0,0.0,0.0,0.0,0.0,0.0
2014-01-01,2.0,11.0,94.0,3046.0,151.0,0.0,0.0,0.0,0.0,0.0
2014-02-01,17.0,10.0,569.0,3292.0,213.0,0.0,0.0,0.0,0.0,0.0
2014-03-01,149.0,56.0,488.0,4494.0,277.0,0.0,0.0,0.0,0.0,0.0
2014-04-01,25.0,22.0,94.0,3153.0,39.0,0.0,0.0,0.0,0.0,0.0
2014-05-01,22.0,23.0,171.0,3327.0,107.0,0.0,0.0,0.0,0.0,0.0
2014-06-01,28.0,6.0,201.0,3816.0,226.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,10.0,2.0,93.0,2821.0,89.0,0.0,0.0,0.0,0.0,0.0
2014-08-01,13.0,5.0,78.0,3101.0,38.0,0.0,0.0,0.0,0.0,0.0
2014-09-01,19.0,8.0,54.0,3410.0,72.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,14.0,2.0,175.0,3417.0,142.0,0.0,0.0,0.0,0.0,0.0
2014-11-01,7.0,3.0,432.0,2673.0,86.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,29.0,18.0,348.0,3257.0,304.0,0.0,0.0,0.0,0.0,0.0
2015-01-01,41.0,3.0,0.0,3085.0,74.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,19.0,4.0,192.0,2993.0,211.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,5.0,2.0,460.0,3800.0,86.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,7.0,3.0,173.0,1707.0,79.0,2032.0,0.0,0.0,0.0,0.0
2015-05-01,6.0,1.0,126.0,1429.0,92.0,1947.0,0.0,0.0,0.0,0.0
2015-06-01,21.0,0.0,198.0,2310.0,103.0,1708.0,0.0,0.0,0.0,0.0
2015-07-01,5.0,1.0,94.0,1005.0,59.0,522.0,0.0,0.0,0.0,0.0
2015-08-01,12.0,1.0,105.0,1109.0,30.0,271.0,0.0,0.0,0.0,0.0
2015-09-01,13.0,3.0,81.0,1009.0,30.0,264.0,381.0,0.0,0.0,0.0
2015-10-01,38.0,5.0,100.0,1727.0,31.0,300.0,5195.0,0.0,0.0,0.0
2015-11-01,7.0,6.0,142.0,1675.0,77.0,443.0,5469.0,0.0,0.0,0.0
2015-12-01,3.0,45.0,209.0,2323.0,83.0,741.0,6888.0,0.0,0.0,0.0
