Month,Industry_Total,Renault_Total,Market_Share_Pct
2011-01-01,225680,0,0.0
2011-02-01,228002,0,0.0
2011-03-01,235759,0,0.0
2011-04-01,199497,0,0.0
2011-05-01,198780,0,0.0
2011-06-01,205677,0,0.0
2011-07-01,172869,212,0.12263621586287882
2011-08-01,179862,171,0.09507288921506488
2011-09-01,206564,191,0.09246528920818729
2011-10-01,174846,178,0.10180387312263364
2011-11-01,208517,174,0.08344643362411698
2011-12-01,198174,190,0.09587534187128482
2012-01-01,240475,885,0.3680216238694251
2012-02-01,257679,673,0.2611776667869714
2012-03-01,277705,1005,0.36189481644190774
2012-04-01,216656,615,0.2838601284986338
2012-05-01,210580,482,0.22889163263367843
2012-06-01,195002,787,0.40358560425021284
2012-07-01,192480,1776,0.9226932668329177
2012-08-01,171040,4036,2.3596819457436857
2012-09-01,213950,5577,2.6066838046272496
2012-10-01,230830,6790,2.9415587228696443
2012-11-01,212343,6607,3.1114753017523538
2012-12-01,191394,5924,3.0951858469962485
2013-01-01,255931,4914,1.9200487631431908
2013-02-01,217373,6723,3.092840417163125
2013-03-01,247451,8232,3.326719229261551
2013-04-01,203941,6314,3.095993449085765
2013-05-01,197605,6300,3.1881784367804458
2013-06-01,192235,6007,3.12482118240695
2013-07-01,176164,3763,2.1360777457369267
2013-08-01,181413,4733,2.608964076444356
2013-09-01,207171,4822,2.32754584377157
2013-10-01,228535,5403,2.3641892926685193
2013-11-01,194651,4044,2.0775644615234445
2013-12-01,180515,4113,2.278481012658228
2014-01-01,213104,3304,1.5504166979502967
2014-02-01,213659,4101,1.9194136451073909
2014-03-01,232324,5464,2.3518878807183072
2014-04-01,183288,3333,1.8184496530051066
2014-05-01,203463,3650,1.79393796415073
2014-06-01,212904,4277,2.0088866343516325
2014-07-01,193919,3015,1.5547728690845146
2014-08-01,208956,3235,1.5481728210723789
2014-09-01,219504,3563,1.6232050440994243
2014-10-01,216808,3750,1.7296409726578355
2014-11-01,208926,3201,1.5321214209815917
2014-12-01,206081,3956,1.9196335421509017
2015-01-01,229297,3203,1.3968782844956542
2015-02-01,229352,3419,1.490721685444208
2015-03-01,241582,4353,1.80187265607537
2015-04-01,216366,4001,1.8491814795300556
2015-05-01,215261,3601,1.6728529552496734
2015-06-01,215207,4340,2.016663026760282
2015-07-01,218924,1686,0.7701302735195776
2015-08-01,218794,1528,0.6983738128102234
2015-09-01,228715,1781,0.7786983800800122
2015-10-01,264712,7396,2.7939798724651697
2015-11-01,233544,7819,3.347977254821361
2015-12-01,227929,10292,4.515441211956355
2016-01-01,227954,8031,3.5230792177369117
2016-02-01,230159,8834,3.8382161896775706
2016-03-01,248144,12424,5.006770262428267
2016-04-01,238590,12426,5.208097573242801
2016-05-01,229367,8343,3.6374020674290546
2016-06-01,219272,11837,5.398318070706702
2016-07-01,255769,11968,4.679222266967459
2016-08-01,255606,12972,5.074998239477947
2016-09-01,274797,12143,4.418898314028173
2016-10-01,277188,12409,4.476745025037159
2016-11-01,239099,9604,4.016746201364288
2016-12-01,225185,11244,4.99322779048338
2017-01-01,262738,8787,3.3443963187662233
2017-02-01,251912,11190,4.442027374638763
2017-03-01,278128,12188,4.382154979002474
2017-04-01,274564,9545,3.476420798065296
2017-05-01,248154,8639,3.4813059632325087
2017-06-01,195031,6840,3.5071347631914924
2017-07-01,294499,8961,3.042794712375933
2017-08-01,305595,9585,3.1365041967309675
2017-09-01,306352,10874,3.5495116728469207
2017-10-01,277116,9305,3.3577996218190216
2017-11-01,271579,7800,2.8720924666487466
2017-12-01,236026,8763,3.712726564022608
2018-01-01,280701,6919,2.464900374419756
2018-02-01,270412,7305,2.7014333683416414
2018-03-01,294465,7683,2.6091386073047733
2018-04-01,294483,7422,2.520349222196188
2018-05-01,297257,6732,2.2647069707357605
2018-06-01,268735,6636,2.4693471263512383
2018-07-01,284635,6217,2.1842008185922324
2018-08-01,282809,6557,2.3185259309286477
2018-09-01,288805,6434,2.227800765222209
2018-10-01,281366,7066,2.5113197756658585
2018-11-01,263555,6134,2.3274079414164026
2018-12-01,235981,7263,3.0777901610722895
2019-01-01,276983,5825,2.10301715267724
2019-02-01,268843,6241,2.321429235650547
2019-03-01,287166,7127,2.481839772117869
2019-04-01,245547,6256,2.5477810765352458
2019-05-01,236533,5949,2.5150824620666037
2019-06-01,221610,5400,2.436713144713686
2019-07-01,199533,3660,1.8342830509239072
2019-08-01,195800,5704,2.91317671092952
2019-09-01,222809,8345,3.7453603759273637
2019-10-01,284048,11516,4.054244353067087
2019-11-01,262958,10882,4.13830345530465
2019-12-01,234805,11964,5.095291837908052
2020-01-01,261768,7805,2.9816478713975734
2020-02-01,250222,8784,3.5104826913700635
2020-03-01,140143,3269,2.332617397943529
2020-04-01,0,0,
2020-05-01,36576,1753,4.792760279965004
2020-06-01,116928,4634,3.963122605363985
2020-07-01,197600,6422,3.25
2020-08-01,235152,8060,3.4275702524324694
2020-09-01,292883,8805,3.00631992980132
2020-10-01,333660,11005,3.2982676976562963
2020-11-01,286235,10181,3.5568676087829934
2020-12-01,279039,9800,3.512053870605901
2021-01-01,305747,8209,2.6848996065374315
2021-02-01,309870,11043,3.5637525413883244
2021-03-01,322461,12356,3.8317812076499176
2021-04-01,293160,8642,2.947878291717833
2021-05-01,104706,3620,3.4572994861803528
2021-06-01,257851,6100,2.3657073270997593
2021-07-01,294330,9787,3.3251792206027244
2021-08-01,259555,9703,3.738321357708386
2021-09-01,185638,7326,3.94639028647152
2021-10-01,259867,8910,3.428676977069039
2021-11-01,245214,5052,2.060241258655705
2021-12-01,254270,6130,2.4108231407558893
2022-01-01,294494,8119,2.756932229519107
2022-02-01,302426,6568,2.171770945619755
2022-03-01,321373,8518,2.650502686908981
2022-04-01,293081,7594,2.5910925648540846
2022-05-01,294087,5010,1.7035775127768313
2022-06-01,320555,9317,2.906521501770367
2022-07-01,347885,7128,2.0489529585926385
2022-08-01,334095,7012,2.0988042323291283
2022-09-01,362025,7623,2.105655686761964
2022-10-01,339893,7778,2.288367221449103
2022-11-01,324056,6325,1.951823141679216
2022-12-01,275160,6126,2.2263410379415616
2023-01-01,381805,3008,0.7878367229344824
2023-02-01,340450,6616,1.9433103245704215
2023-03-01,341752,5389,1.5768744586717853
