Month,Renault_Total
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,212
2011-08-01,171
2011-09-01,191
2011-10-01,178
2011-11-01,174
2011-12-01,190
2012-01-01,885
2012-02-01,673
2012-03-01,1005
2012-04-01,615
2012-05-01,482
2012-06-01,787
2012-07-01,1776
2012-08-01,4036
2012-09-01,5577
2012-10-01,6790
2012-11-01,6607
2012-12-01,5924
2013-01-01,4914
2013-02-01,6723
2013-03-01,8232
2013-04-01,6314
2013-05-01,6300
2013-06-01,6007
2013-07-01,3763
2013-08-01,4733
2013-09-01,4822
2013-10-01,5403
2013-11-01,4044
2013-12-01,4113
2014-01-01,3304
2014-02-01,4101
2014-03-01,5464
2014-04-01,3333
2014-05-01,3650
2014-06-01,4277
2014-07-01,3015
2014-08-01,3235
2014-09-01,3563
2014-10-01,3750
2014-11-01,3201
2014-12-01,3956
2015-01-01,3203
2015-02-01,3419
2015-03-01,4353
2015-04-01,4001
2015-05-01,3601
2015-06-01,4340
2015-07-01,1686
2015-08-01,1528
2015-09-01,1781
2015-10-01,7396
2015-11-01,7819
2015-12-01,10292
2016-01-01,8031
2016-02-01,8834
2016-03-01,12424
2016-04-01,12426
2016-05-01,8343
2016-06-01,11837
2016-07-01,11968
2016-08-01,12972
2016-09-01,12143
2016-10-01,12409
2016-11-01,9604
2016-12-01,11244
2017-01-01,8787
2017-02-01,11190
2017-03-01,12188
2017-04-01,9545
2017-05-01,8639
2017-06-01,6840
2017-07-01,8961
2017-08-01,9585
2017-09-01,10874
2017-10-01,9305
2017-11-01,7800
2017-12-01,8763
2018-01-01,6919
2018-02-01,7305
2018-03-01,7683
2018-04-01,7422
2018-05-01,6732
2018-06-01,6636
2018-07-01,6217
2018-08-01,6557
2018-09-01,6434
2018-10-01,7066
2018-11-01,6134
2018-12-01,7263
2019-01-01,5825
2019-02-01,6241
2019-03-01,7127
2019-04-01,6256
2019-05-01,5949
2019-06-01,5400
2019-07-01,3660
2019-08-01,5704
2019-09-01,8345
2019-10-01,11516
2019-11-01,10882
2019-12-01,11964
2020-01-01,7805
2020-02-01,8784
2020-03-01,3269
2020-04-01,0
2020-05-01,1753
2020-06-01,4634
2020-07-01,6422
2020-08-01,8060
2020-09-01,8805
2020-10-01,11005
2020-11-01,10181
2020-12-01,9800
2021-01-01,8209
2021-02-01,11043
2021-03-01,12356
2021-04-01,8642
2021-05-01,3620
2021-06-01,6100
2021-07-01,9787
2021-08-01,9703
2021-09-01,7326
2021-10-01,8910
2021-11-01,5052
2021-12-01,6130
2022-01-01,8119
2022-02-01,6568
2022-03-01,8518
2022-04-01,7594
2022-05-01,5010
2022-06-01,9317
2022-07-01,7128
2022-08-01,7012
2022-09-01,7623
2022-10-01,7778
2022-11-01,6325
2022-12-01,6126
2023-01-01,3008
2023-02-01,6616
2023-03-01,5389
2023-04-01,4323
2023-05-01,4635
2023-06-01,5450
2023-07-01,3607
2023-08-01,3633
2023-09-01,3369
2023-10-01,3861
2023-11-01,2452
2023-12-01,1988
2024-01-01,3826
2024-02-01,4080
2024-03-01,4225
2024-04-01,3707
2024-05-01,3709
2024-06-01,3553
2024-07-01,2832
2024-08-01,3018
2024-09-01,3217
2024-10-01,3870
2024-11-01,2811
2024-12-01,2881
2025-01-01,2780
2025-02-01,2676
2025-03-01,2846
2025-04-01,2602
2025-05-01,2502
2025-06-01,2625
2025-07-01,2575
2025-08-01,3015
2025-09-01,4265
2025-10-01,4672
2025-11-01,3662
2025-12-01,3845
